ID;TaskID;TaskDescription;TaskAssignDuration;TaskCostPerHour;TaskCategory;ExecutionFinishDate;ExecutionDelay (hours);ExecutionBriefDescription;FreelancerID;FreelancerName;FreelancerExpertise;FreelancerEMail;FreelancerNIF;FreelancerBanckAccout;FreelancerAddress;FreeLancerCountry
114;14;Network Administration;67;26;Network Administration;23/03/2020;-2;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Boulevard Royal, 100;Luxembourg
114;15;Web Development;58;39;Software Development;01/04/2020;10;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;jw@gmail.com;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
115;16;Mobile Application Development;48;20;Software Development;23/01/2020;1;Non-expert, problem unsolved;JW1;Marion Antoine;Senior;jw@gmail.com;921654987;LU120010001234567891;Boulevard Royal, 100;USA
116;17;Web Development;33;24;Software Development;15/03/2020;5;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Senior;jw@gmail.com;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
117;18;Network Administration;58;13;Software Development;29/01/2020;-9;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Junior;jw@gmail.com;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
118;19;Web Development;29;44;Network Administration;02/02/2020;8;Non-expert, problem unsolved;JW1;Marion Antoine;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Street 92, 90, New York;USA
119;20;Mobile Application Development;80;25;Software Development;22/03/2020;9;High Quality Work;MS3;John Wayne;Junior;ms10@isep.ipp.pt;223654587;US120010001234567891;Street 92, 90, New York;USA
120;21;Web Development;95;55;Software Development;30/01/2020;9;High Quality Work;MA1;John Wayne;Junior;jw@gmail.com;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
121;22;Network Administration;29;14;Software Development;23/03/2020;2;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Street 92, 90, New York;Portugal
122;23;Web Development;70;55;Software Development;15/02/2020;-3;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Senior;jw@gmail.com;223654587;US120010001234567891;Boulevard Royal, 100;USA
123;24;Mobile Application Development;99;57;Software Development;11/01/2020;-1;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Junior;ms10@isep.ipp.pt;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
124;25;Web Development;40;40;Software Development;17/05/2020;-2;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;jw@gmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;Portugal
125;26;Network Administration;92;51;Software Development;28/04/2020;5;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Junior;Marion190@hotmail.com;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
126;27;Web Development;39;15;Software Development;09/02/2020;0;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;ms10@isep.ipp.pt;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
127;28;Mobile Application Development;34;30;Software Development;26/01/2020;9;Non-expert, problem unsolved;JW1;Marion Antoine;Junior;Marion190@hotmail.com;223654587;US120010001234567891;Street 92, 90, New York;Luxembourg
128;29;Web Development;69;45;Network Administration;05/01/2020;5;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Junior;jw@gmail.com;223654587;US120010001234567891;Boulevard Royal, 100;Luxembourg
129;30;Network Administration;82;32;Software Development;02/01/2020;-8;High Quality Work;JW1;Maria Sousa;Junior;jw@gmail.com;213456789;US120010001234567891;Boulevard Royal, 100;Luxembourg
130;31;Web Development;25;16;Network Administration;21/02/2020;6;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
131;32;Mobile Application Development;24;12;Software Development;22/01/2020;-7;Non-expert, problem unsolved;JW1;John Wayne;Junior;Marion190@hotmail.com;921654987;US120010001234567891;Street 92, 90, New York;Luxembourg
132;33;Web Development;42;15;Network Administration;22/02/2020;-7;Non-expert, problem unsolved;MA1;John Wayne;Junior;ms10@isep.ipp.pt;223654587;US120010001234567891;Street 92, 90, New York;USA
133;34;Network Administration;88;53;Network Administration;22/05/2020;5;Non-expert, problem unsolved;JW1;Maria Sousa;Junior;Marion190@hotmail.com;223654587;LU120010001234567891;Street 92, 90, New York;Luxembourg
134;35;Web Development;86;26;Software Development;22/03/2020;4;High Quality Work;MA1;Marion Antoine;Senior;jw@gmail.com;921654987;LU120010001234567891;Boulevard Royal, 100;Luxembourg
135;36;Mobile Application Development;94;49;Software Development;25/04/2020;7;Non-expert, problem unsolved;JW1;John Wayne;Senior;ms10@isep.ipp.pt;223654587;LU120010001234567891;Street 92, 90, New York;Luxembourg
136;37;Web Development;61;10;Network Administration;04/05/2020;-1;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;Marion190@hotmail.com;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
137;38;Network Administration;100;13;Software Development;28/04/2020;-10;High Quality Work;MS3;Marion Antoine;Senior;jw@gmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
138;39;Web Development;81;42;Network Administration;23/01/2020;10;Non-expert, problem unsolved;JW1;John Wayne;Senior;jw@gmail.com;921654987;US120010001234567891;Boulevard Royal, 100;Portugal
139;40;Mobile Application Development;24;18;Network Administration;24/03/2020;8;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;jw@gmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
140;41;Web Development;84;52;Software Development;26/03/2020;-6;Non-expert, problem unsolved;JW1;John Wayne;Junior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
141;42;Network Administration;95;18;Software Development;23/04/2020;-4;High Quality Work;MS3;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Street 92, 90, New York;Luxembourg
142;43;Web Development;32;58;Software Development;08/04/2020;-1;Non-expert, problem unsolved;JW1;John Wayne;Senior;Marion190@hotmail.com;213456789;PT120010001234567891;Boulevard Royal, 100;USA
143;44;Mobile Application Development;54;32;Software Development;07/05/2020;-6;High Quality Work;MA1;John Wayne;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
144;45;Web Development;71;13;Software Development;08/04/2020;5;Non-expert, problem unsolved;MS3;John Wayne;Senior;jw@gmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
145;46;Network Administration;64;45;Network Administration;21/01/2020;10;Medium Quality Work, not an expert in Web development;MS3;Maria Sousa;Junior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Boulevard Royal, 100;Portugal
146;47;Web Development;94;20;Software Development;15/02/2020;1;High Quality Work;MA1;Maria Sousa;Senior;jw@gmail.com;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
147;48;Mobile Application Development;36;43;Software Development;19/05/2020;-8;High Quality Work;MS3;John Wayne;Senior;jw@gmail.com;921654987;LU120010001234567891;Boulevard Royal, 100;Portugal
148;49;Web Development;34;12;Software Development;19/03/2020;-5;High Quality Work;MA1;John Wayne;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Boulevard Royal, 100;Luxembourg
149;50;Network Administration;70;28;Software Development;09/04/2020;-1;Medium Quality Work, not an expert in Web development;MS3;Maria Sousa;Junior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Street 92, 90, New York;Luxembourg
150;51;Web Development;84;30;Software Development;18/05/2020;-10;Non-expert, problem unsolved;JW1;John Wayne;Senior;Marion190@hotmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
151;52;Mobile Application Development;74;53;Software Development;26/05/2020;6;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;ms10@isep.ipp.pt;213456789;US120010001234567891;Street 92, 90, New York;USA
152;53;Web Development;94;45;Software Development;25/03/2020;-3;High Quality Work;JW1;John Wayne;Junior;jw@gmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;USA
153;54;Network Administration;81;30;Software Development;09/01/2020;3;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Boulevard Royal, 100;USA
154;55;Web Development;39;20;Network Administration;10/03/2020;-6;Medium Quality Work, not an expert in Web development;MS3;Maria Sousa;Junior;Marion190@hotmail.com;213456789;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
155;56;Mobile Application Development;69;10;Network Administration;25/03/2020;10;Medium Quality Work, not an expert in Web development;MS3;Maria Sousa;Senior;Marion190@hotmail.com;213456789;PT120010001234567891;Street 92, 90, New York;USA
156;57;Web Development;29;22;Software Development;21/02/2020;9;Non-expert, problem unsolved;MA1;Maria Sousa;Junior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Boulevard Royal, 100;USA
157;58;Network Administration;56;39;Software Development;09/03/2020;4;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;US120010001234567891;Boulevard Royal, 100;Luxembourg
158;59;Web Development;98;53;Software Development;07/05/2020;-9;High Quality Work;MS3;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Boulevard Royal, 100;Luxembourg
159;60;Mobile Application Development;84;49;Network Administration;25/03/2020;-8;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;jw@gmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
160;61;Web Development;26;22;Network Administration;29/04/2020;-9;High Quality Work;MS3;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Street 92, 90, New York;USA
161;62;Network Administration;29;29;Software Development;06/02/2020;4;High Quality Work;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;US120010001234567891;Street 92, 90, New York;Luxembourg
162;63;Web Development;97;42;Software Development;16/05/2020;4;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;jw@gmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
163;64;Mobile Application Development;62;20;Software Development;27/02/2020;-5;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;US120010001234567891;Street 92, 90, New York;Luxembourg
164;65;Web Development;30;50;Software Development;28/01/2020;-1;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Junior;jw@gmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;Portugal
165;66;Network Administration;86;45;Network Administration;03/04/2020;10;High Quality Work;MA1;Maria Sousa;Senior;jw@gmail.com;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
166;67;Web Development;27;15;Network Administration;11/02/2020;1;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Senior;jw@gmail.com;213456789;LU120010001234567891;Street 92, 90, New York;Luxembourg
167;68;Mobile Application Development;38;58;Software Development;26/05/2020;5;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;Marion190@hotmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;Portugal
168;69;Web Development;21;13;Software Development;23/05/2020;0;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Senior;jw@gmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
169;70;Network Administration;62;51;Network Administration;19/01/2020;-9;High Quality Work;MS3;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
170;71;Web Development;68;19;Network Administration;19/02/2020;-2;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Boulevard Royal, 100;Luxembourg
171;72;Mobile Application Development;90;30;Network Administration;23/05/2020;-6;High Quality Work;MS3;Marion Antoine;Senior;Marion190@hotmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;USA
172;73;Web Development;64;38;Software Development;05/04/2020;8;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;Marion190@hotmail.com;223654587;US120010001234567891;Boulevard Royal, 100;Luxembourg
173;74;Network Administration;95;42;Software Development;18/03/2020;-9;Non-expert, problem unsolved;MS3;Maria Sousa;Junior;ms10@isep.ipp.pt;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
174;75;Web Development;82;37;Software Development;22/01/2020;3;High Quality Work;MS3;John Wayne;Junior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Street 92, 90, New York;Portugal
175;76;Mobile Application Development;57;31;Software Development;06/03/2020;-10;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;213456789;LU120010001234567891;Boulevard Royal, 100;USA
176;77;Mobile Application Development;56;60;Software Development;17/01/2020;-1;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Boulevard Royal, 100;USA
177;78;Mobile Application Development;88;54;Software Development;27/05/2020;-8;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;jw@gmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;USA
178;79;Mobile Application Development;25;48;Network Administration;05/02/2020;-8;High Quality Work;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Boulevard Royal, 100;Luxembourg
179;80;Mobile Application Development;85;26;Network Administration;05/01/2020;-6;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Street 92, 90, New York;USA
180;81;Mobile Application Development;69;10;Network Administration;07/01/2020;10;High Quality Work;MA1;John Wayne;Junior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Boulevard Royal, 100;Portugal
181;82;Mobile Application Development;55;19;Software Development;02/04/2020;-7;High Quality Work;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
182;83;Mobile Application Development;47;34;Software Development;02/01/2020;3;Non-expert, problem unsolved;JW1;John Wayne;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
183;84;Mobile Application Development;29;37;Software Development;12/02/2020;-2;Non-expert, problem unsolved;JW1;Maria Sousa;Senior;Marion190@hotmail.com;213456789;PT120010001234567891;Street 92, 90, New York;Luxembourg
184;85;Mobile Application Development;22;29;Software Development;13/05/2020;8;Non-expert, problem unsolved;MS3;John Wayne;Junior;Marion190@hotmail.com;213456789;US120010001234567891;Street 92, 90, New York;Portugal
185;86;Mobile Application Development;100;11;Software Development;24/01/2020;4;Non-expert, problem unsolved;JW1;John Wayne;Senior;Marion190@hotmail.com;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
186;87;Mobile Application Development;30;50;Software Development;06/02/2020;1;Non-expert, problem unsolved;MS3;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Street 92, 90, New York;USA
187;88;Mobile Application Development;54;41;Network Administration;19/03/2020;4;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Senior;jw@gmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
188;89;Mobile Application Development;43;52;Software Development;10/05/2020;-10;High Quality Work;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Street 92, 90, New York;Portugal
189;90;Mobile Application Development;57;35;Software Development;30/04/2020;-3;Non-expert, problem unsolved;MA1;Maria Sousa;Junior;ms10@isep.ipp.pt;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
190;91;Mobile Application Development;37;22;Software Development;22/02/2020;8;Non-expert, problem unsolved;MS3;Marion Antoine;Junior;Marion190@hotmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
191;92;Mobile Application Development;63;13;Software Development;11/03/2020;-5;High Quality Work;MA1;Maria Sousa;Junior;jw@gmail.com;223654587;PT120010001234567891;Street 92, 90, New York;USA
192;93;Mobile Application Development;89;29;Software Development;20/02/2020;-4;High Quality Work;JW1;Marion Antoine;Junior;Marion190@hotmail.com;921654987;LU120010001234567891;Street 92, 90, New York;USA
193;94;Mobile Application Development;81;51;Software Development;13/03/2020;-9;Non-expert, problem unsolved;JW1;John Wayne;Senior;jw@gmail.com;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
194;95;Mobile Application Development;42;59;Software Development;21/02/2020;9;Non-expert, problem unsolved;JW1;Maria Sousa;Senior;Marion190@hotmail.com;921654987;LU120010001234567891;Street 92, 90, New York;Luxembourg
195;96;Mobile Application Development;56;30;Software Development;07/05/2020;4;High Quality Work;MA1;John Wayne;Senior;Marion190@hotmail.com;223654587;US120010001234567891;Street 92, 90, New York;USA
196;97;Mobile Application Development;30;26;Software Development;22/04/2020;3;Non-expert, problem unsolved;MS3;Maria Sousa;Senior;jw@gmail.com;223654587;PT120010001234567891;Boulevard Royal, 100;Portugal
197;98;Mobile Application Development;25;10;Software Development;16/02/2020;6;High Quality Work;JW1;Maria Sousa;Senior;jw@gmail.com;921654987;US120010001234567891;Street 92, 90, New York;USA
198;99;Mobile Application Development;74;59;Network Administration;18/01/2020;1;Non-expert, problem unsolved;MS3;John Wayne;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
199;100;Mobile Application Development;67;18;Software Development;17/05/2020;-5;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;Marion190@hotmail.com;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
200;101;Mobile Application Development;34;42;Software Development;12/02/2020;3;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Junior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
201;102;Mobile Application Development;73;57;Software Development;05/01/2020;-7;High Quality Work;MS3;Marion Antoine;Junior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Boulevard Royal, 100;Portugal
202;103;Mobile Application Development;56;23;Software Development;18/03/2020;-3;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
203;104;Mobile Application Development;58;29;Software Development;25/01/2020;10;Non-expert, problem unsolved;MA1;John Wayne;Senior;jw@gmail.com;223654587;US120010001234567891;Street 92, 90, New York;Portugal
204;105;Mobile Application Development;73;38;Software Development;05/02/2020;7;Non-expert, problem unsolved;JW1;Maria Sousa;Senior;ms10@isep.ipp.pt;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
205;106;Mobile Application Development;40;34;Software Development;18/05/2020;-5;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;jw@gmail.com;921654987;PT120010001234567891;Boulevard Royal, 100;USA
206;107;Mobile Application Development;31;37;Software Development;08/01/2020;4;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Junior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Street 92, 90, New York;USA
207;108;Mobile Application Development;90;60;Network Administration;12/03/2020;-10;High Quality Work;JW1;Marion Antoine;Senior;Marion190@hotmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;Portugal
208;109;Mobile Application Development;38;33;Software Development;17/03/2020;6;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;jw@gmail.com;921654987;LU120010001234567891;Street 92, 90, New York;Portugal
209;110;Mobile Application Development;66;36;Software Development;14/03/2020;-10;Non-expert, problem unsolved;MS3;John Wayne;Junior;jw@gmail.com;921654987;PT120010001234567891;Boulevard Royal, 100;Luxembourg
210;111;Mobile Application Development;33;25;Network Administration;13/01/2020;-10;Non-expert, problem unsolved;JW1;Maria Sousa;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Boulevard Royal, 100;USA
211;112;Mobile Application Development;74;10;Software Development;08/01/2020;-4;High Quality Work;JW1;Maria Sousa;Senior;jw@gmail.com;223654587;US120010001234567891;Street 92, 90, New York;Portugal
212;113;Mobile Application Development;20;51;Software Development;22/05/2020;8;Non-expert, problem unsolved;MA1;Maria Sousa;Junior;jw@gmail.com;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
213;114;Mobile Application Development;74;57;Software Development;26/05/2020;-8;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Street 92, 90, New York;Portugal
214;115;Mobile Application Development;45;24;Network Administration;25/05/2020;10;High Quality Work;MA1;John Wayne;Senior;ms10@isep.ipp.pt;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
215;116;Mobile Application Development;48;54;Network Administration;21/05/2020;8;Non-expert, problem unsolved;JW1;John Wayne;Junior;Marion190@hotmail.com;921654987;US120010001234567891;Boulevard Royal, 100;Portugal
216;117;Mobile Application Development;67;44;Software Development;22/01/2020;0;High Quality Work;MS3;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Street 92, 90, New York;USA
217;118;Mobile Application Development;98;54;Software Development;05/05/2020;7;High Quality Work;MS3;Marion Antoine;Senior;jw@gmail.com;213456789;PT120010001234567891;Street 92, 90, New York;Portugal
218;119;Mobile Application Development;86;25;Software Development;28/05/2020;-7;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Junior;Marion190@hotmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
219;120;Mobile Application Development;32;38;Software Development;21/03/2020;1;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Junior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Street 92, 90, New York;Portugal
220;121;Mobile Application Development;41;31;Software Development;26/01/2020;-10;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;Marion190@hotmail.com;921654987;LU120010001234567891;Boulevard Royal, 100;Portugal
221;122;Mobile Application Development;60;16;Software Development;04/02/2020;10;Non-expert, problem unsolved;MA1;Marion Antoine;Junior;Marion190@hotmail.com;213456789;US120010001234567891;Boulevard Royal, 100;Luxembourg
222;123;Mobile Application Development;98;11;Network Administration;07/03/2020;-5;High Quality Work;JW1;Maria Sousa;Junior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
223;124;Mobile Application Development;27;55;Network Administration;01/04/2020;-1;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Junior;Marion190@hotmail.com;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
224;125;Mobile Application Development;74;25;Software Development;21/01/2020;-2;Non-expert, problem unsolved;JW1;John Wayne;Junior;Marion190@hotmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
225;126;Mobile Application Development;91;31;Software Development;29/04/2020;4;High Quality Work;MA1;John Wayne;Senior;jw@gmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;USA
226;127;Mobile Application Development;82;46;Software Development;25/01/2020;10;Non-expert, problem unsolved;JW1;Maria Sousa;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;USA
227;128;Mobile Application Development;94;45;Software Development;09/05/2020;8;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;Marion190@hotmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
